Metric,Mean,Std,Values
E_R2_train,0.9848944493621088,0.0011853475178008703,"[0.9856419236287647, 0.9853407117618157, 0.9863129413809233, 0.9829389557690792, 0.9842377142699611]"
E_RMSE_train,0.23340581357479095,0.00887921872371149,"[0.22757677733898163, 0.23096419870853424, 0.2221800684928894, 0.24752387404441833, 0.23878414928913116]"
E_MAE_train,0.17631661593914033,0.006975625494418749,"[0.17247869074344635, 0.1750011444091797, 0.16635450720787048, 0.18645833432674408, 0.181290403008461]"
E_R2_val,0.9835009969186684,0.0017853586417983225,"[0.984869477559951, 0.9833543387728276, 0.9857835898270159, 0.9805884906613327, 0.982909087772215]"
E_RMSE_val,0.24379067718982697,0.01385485309151506,"[0.23444543778896332, 0.24155466258525848, 0.22731438279151917, 0.26787853240966797, 0.2477603703737259]"
E_MAE_val,0.18425630927085876,0.009458312728472659,"[0.1791083961725235, 0.18312163650989532, 0.17087458074092865, 0.19894112646579742, 0.18923580646514893]"
E_R2_val_exp,0.9778958514112418,0.003841762325056944,"[0.9721907350296227, 0.9803641794837135, 0.9754303948566934, 0.9832786154196983, 0.9782153322664806]"
E_RMSE_val_exp,0.1976329505443573,0.017721470403510867,"[0.22934435307979584, 0.18952494859695435, 0.20167343318462372, 0.176722913980484, 0.1908991038799286]"
E_MAE_val_exp,0.1375852644443512,0.012032491114779695,"[0.16045761108398438, 0.13588741421699524, 0.13464343547821045, 0.12507718801498413, 0.1318606734275818]"
